Property_ID,City,State,Locality,Property_Type,BHK,Area_sqft,Property_Price_INR,Monthly_Rent_INR,Rental_Yield_pct,Price_per_sqft,Demand_Score,Supply_Score,Interest_Rate_pct,Inflation_pct,GDP_Growth_pct,Latitude,Longitude,Listing_Status,Year
P0001,Bengaluru,Karnataka,Whitefield,Plot,0,3866,23513012,58782,3,6082,54,42,6.91,4.2,7.02,12.897599,77.583983,Available,2023
P0002,Mumbai,Maharashtra,Powai,Plot,0,1442,33206376,83015,3,23028,57,58,7.58,6.04,5.69,19.089687,72.805634,Available,2022
P0003,Delhi,Delhi,Dwarka,Commercial,4,1190,26438230,66095,3,22217,57,69,7.4,6.39,5.81,28.625293,77.159059,Available,2022
P0004,Delhi,Delhi,Dwarka,Villa,4,3386,74231278,185578,3,21923,77,70,7.16,7.23,6.58,28.573648,77.157763,Available,2022
P0005,Delhi,Delhi,Rohini,Plot,0,4784,75371920,188429,3,15755,96,87,6.72,7.43,5.85,28.6008,77.250143,Available,2025
P0006,Hyderabad,Telangana,Gachibowli,Apartment,5,2947,43556660,108891,3,14780,71,74,7.49,6.03,6.87,17.439395,78.557849,Sold,2022
P0007,Mumbai,Maharashtra,Powai,Commercial,5,3390,64755780,161889,3,19102,68,79,8.22,5.21,8.32,19.052874,72.895447,Sold,2022
P0008,Pune,Maharashtra,Kharadi,Villa,2,2229,38583990,96459,3,17310,81,40,6.42,5.41,6.33,18.462308,73.845583,Rented,2024
P0009,Hyderabad,Telangana,Madhapur,Plot,0,2145,20259525,50648,3,9445,55,52,6.38,6.3,5.54,17.437975,78.435875,Sold,2022
P0010,Pune,Maharashtra,Kharadi,Commercial,5,2919,43609860,109024,3,14940,58,95,8.38,6.29,7.72,18.513463,73.916057,Rented,2025
P0011,Hyderabad,Telangana,Madhapur,Plot,0,1624,32931472,82328,3,20278,90,81,6.16,4.24,6.13,17.330969,78.461109,Available,2022
P0012,Mumbai,Maharashtra,Powai,Villa,5,1015,16660210,41650,3,16414,89,33,6.18,4.73,6.63,19.097506,72.950575,Rented,2024
P0013,Hyderabad,Telangana,Gachibowli,Apartment,4,2508,50764428,126911,3,20241,80,69,6.21,4.36,6.53,17.347361,78.539317,Available,2022
P0014,Pune,Maharashtra,Wakad,Commercial,2,3426,76392948,190982,3,22298,51,68,8.45,7.02,7.59,18.482178,73.835372,Available,2024
P0015,Pune,Maharashtra,Wakad,Commercial,2,3111,33891234,84728,3,10894,65,81,7.85,4.79,7.05,18.49729,73.781337,Available,2024
P0016,Hyderabad,Telangana,Madhapur,Villa,5,2010,38499540,96248,3,19154,96,74,8.39,5.28,6.16,17.341295,78.438173,Available,2025
P0017,Delhi,Delhi,Saket,Apartment,4,3274,51637528,129093,3,15772,91,40,8.09,4.42,6.67,28.647739,77.160891,Available,2025
P0018,Bengaluru,Karnataka,Whitefield,Plot,0,3097,54668244,136670,3,17652,97,40,7.81,4.6,5.88,12.915784,77.659376,Rented,2023
P0019,Delhi,Delhi,Saket,Plot,0,3892,62201944,155504,3,15982,59,46,6.05,6.8,7.68,28.550344,77.248919,Available,2025
P0020,Pune,Maharashtra,Hinjewadi,Apartment,3,1471,20739629,51849,3,14099,82,60,7.91,5.14,7.13,18.573871,73.786445,Rented,2024
P0021,Hyderabad,Telangana,Kondapur,Plot,0,4587,96042606,240106,3,20938,58,49,7.31,4.07,6.82,17.334297,78.407329,Available,2023
P0022,Pune,Maharashtra,Kharadi,Apartment,5,852,12934212,32335,3,15181,93,91,7.96,4.37,7.18,18.480159,73.821007,Available,2025
P0023,Delhi,Delhi,Dwarka,Apartment,4,1933,47495743,118739,3,24571,82,95,6.5,4.97,7.02,28.663078,77.21024,Available,2024
P0024,Delhi,Delhi,Dwarka,Plot,0,1761,31965672,79914,3,18152,57,80,7.11,4.25,6.22,28.545599,77.236116,Available,2023
P0025,Bengaluru,Karnataka,Whitefield,Commercial,2,2515,29412925,73532,3,11695,97,42,7.0,5.71,8.47,13.024791,77.540435,Sold,2025
P0026,Bengaluru,Karnataka,HSR Layout,Villa,3,1904,14319984,35799,3,7521,96,76,6.05,5.94,6.82,12.894493,77.56764,Rented,2024
P0027,Delhi,Delhi,Dwarka,Apartment,2,1029,7464366,18660,3,7254,66,64,6.1,6.73,6.31,28.554629,77.196561,Rented,2024
P0028,Hyderabad,Telangana,Gachibowli,Plot,0,4068,61898688,154746,3,15216,55,65,6.14,6.41,6.78,17.316586,78.556836,Rented,2022
P0029,Bengaluru,Karnataka,Whitefield,Villa,1,1683,14283621,35709,3,8487,79,31,6.85,5.94,8.28,12.934458,77.535276,Rented,2023
P0030,Mumbai,Maharashtra,Andheri,Commercial,1,1341,14899851,37249,3,11111,69,69,7.33,4.72,6.84,19.103545,72.840984,Available,2024
P0031,Mumbai,Maharashtra,Andheri,Apartment,5,2857,30592756,76481,3,10708,82,90,6.61,5.56,7.47,19.100017,72.902742,Rented,2025
P0032,Delhi,Delhi,Rohini,Villa,2,2003,22049024,55122,3,11008,95,47,7.01,5.22,5.66,28.554671,77.140316,Rented,2024
P0033,Hyderabad,Telangana,Gachibowli,Apartment,1,3324,56441520,141103,3,16980,82,66,7.5,6.42,5.64,17.334656,78.449746,Available,2024
P0034,Bengaluru,Karnataka,HSR Layout,Commercial,2,741,10850463,27126,3,14643,63,75,6.46,5.17,5.75,12.936229,77.619563,Available,2022
P0035,Mumbai,Maharashtra,Bandra,Apartment,2,2236,53055808,132639,3,23728,52,80,6.06,5.06,6.2,19.089693,72.88237,Available,2025
P0036,Bengaluru,Karnataka,Electronic City,Plot,0,1812,25025532,62563,3,13811,96,48,6.11,6.92,8.18,12.991973,77.632016,Rented,2023
P0037,Delhi,Delhi,Saket,Apartment,5,3397,40879498,102198,3,12034,55,33,6.1,6.23,8.38,28.594159,77.201222,Available,2022
P0038,Delhi,Delhi,Saket,Villa,4,1680,7741440,19353,3,4608,79,38,7.87,5.76,7.11,28.639388,77.139568,Rented,2025
P0039,Bengaluru,Karnataka,Whitefield,Commercial,2,1440,17366400,43416,3,12060,97,88,7.23,5.34,6.94,13.000991,77.637315,Rented,2023
P0040,Mumbai,Maharashtra,Powai,Villa,3,1640,23739000,59347,3,14475,89,47,6.03,4.21,6.31,19.10352,72.90845,Rented,2025
P0041,Bengaluru,Karnataka,Electronic City,Commercial,4,2508,49610748,124026,3,19781,99,45,8.48,5.92,6.44,12.905337,77.590271,Sold,2025
P0042,Mumbai,Maharashtra,Powai,Plot,0,2300,39504800,98762,3,17176,63,56,6.19,4.32,7.74,19.037889,72.855229,Rented,2024
P0043,Mumbai,Maharashtra,Powai,Commercial,2,2639,53912131,134780,3,20429,75,33,6.4,7.32,7.54,19.060867,72.914049,Sold,2024
P0044,Hyderabad,Telangana,Madhapur,Apartment,3,607,9186338,22965,3,15134,98,73,8.1,4.42,8.28,17.419084,78.550951,Sold,2024
P0045,Bengaluru,Karnataka,Whitefield,Plot,0,2798,66609188,166522,3,23806,54,76,8.31,6.64,8.06,12.936502,77.522859,Rented,2024
P0046,Pune,Maharashtra,Hinjewadi,Commercial,4,2692,39951972,99879,3,14841,62,77,7.96,5.5,5.59,18.562265,73.840707,Rented,2023
P0047,Mumbai,Maharashtra,Andheri,Plot,0,3046,75080854,187702,3,24649,98,47,7.61,5.0,5.65,19.144284,72.81807,Sold,2025
P0048,Bengaluru,Karnataka,HSR Layout,Commercial,3,3273,42630825,106577,3,13025,75,60,6.75,5.95,6.68,12.918373,77.540465,Available,2025
P0049,Delhi,Delhi,Dwarka,Plot,0,4912,75674272,189185,3,15406,98,87,7.07,5.92,6.23,28.561851,77.21794,Sold,2023
P0050,Bengaluru,Karnataka,HSR Layout,Villa,1,2290,39030760,97576,3,17044,76,56,6.94,5.18,5.69,12.936003,77.66943,Available,2023
P0051,Mumbai,Maharashtra,Bandra,Villa,4,2237,42746833,106867,3,19109,77,69,8.12,7.06,5.57,19.001159,72.911222,Sold,2025
P0052,Mumbai,Maharashtra,Andheri,Plot,0,4996,108892816,272232,3,21796,79,87,6.62,4.38,5.96,19.079578,72.906832,Rented,2025
P0053,Mumbai,Maharashtra,Powai,Apartment,1,1114,13502794,33756,3,12121,86,34,7.61,5.06,5.88,19.036287,72.899507,Rented,2022
P0054,Mumbai,Maharashtra,Andheri,Commercial,5,2987,32202847,80507,3,10781,74,63,6.56,6.1,5.53,19.044243,72.871411,Sold,2023
P0055,Hyderabad,Telangana,Kondapur,Villa,5,1611,8794449,21986,3,5459,76,69,6.14,4.68,8.15,17.408547,78.419675,Available,2025
P0056,Bengaluru,Karnataka,Whitefield,Plot,0,1339,20857603,52144,3,15577,95,83,6.91,5.39,5.52,12.938338,77.649824,Available,2023
P0057,Hyderabad,Telangana,Gachibowli,Commercial,2,1545,30498300,76245,3,19740,64,63,7.9,5.03,8.36,17.384322,78.43667,Available,2025
P0058,Hyderabad,Telangana,Kondapur,Apartment,5,1199,20853008,52132,3,17392,53,57,6.06,6.09,6.75,17.418577,78.436157,Sold,2024
P0059,Mumbai,Maharashtra,Andheri,Villa,3,1381,14608218,36520,3,10578,91,89,6.08,6.33,6.64,19.055821,72.850772,Available,2022
P0060,Mumbai,Maharashtra,Andheri,Commercial,1,2039,37248452,93121,3,18268,57,56,6.95,6.69,6.43,19.12463,72.811742,Rented,2025
P0061,Pune,Maharashtra,Kharadi,Plot,0,1990,30037060,75092,3,15094,73,90,6.08,5.44,7.94,18.563067,73.783204,Available,2025
P0062,Mumbai,Maharashtra,Andheri,Commercial,2,857,20862808,52157,3,24344,71,76,6.68,7.35,7.35,19.037948,72.912362,Sold,2024
P0063,Bengaluru,Karnataka,Whitefield,Apartment,1,1557,12477798,31194,3,8014,80,89,8.38,5.35,6.25,12.96039,77.593556,Sold,2023
P0064,Mumbai,Maharashtra,Powai,Commercial,2,3087,37775619,94439,3,12237,70,70,7.15,6.74,7.29,19.077902,72.86037,Available,2023
P0065,Hyderabad,Telangana,Gachibowli,Apartment,4,2863,63973735,159934,3,22345,70,50,8.45,7.09,8.46,17.347383,78.420153,Available,2025
P0066,Hyderabad,Telangana,Kondapur,Plot,0,1909,23240166,58100,3,12174,58,83,7.15,7.12,6.2,17.39117,78.53052,Available,2024
P0067,Bengaluru,Karnataka,HSR Layout,Commercial,3,1640,21369200,53423,3,13030,62,86,6.62,4.86,5.96,13.033067,77.607125,Sold,2022
P0068,Hyderabad,Telangana,Madhapur,Villa,5,2755,33283155,83207,3,12081,91,42,7.63,7.47,5.81,17.380962,78.537756,Sold,2024
P0069,Mumbai,Maharashtra,Bandra,Villa,1,806,8633066,21582,3,10711,88,54,8.33,5.3,8.1,19.067858,72.839292,Rented,2022
P0070,Mumbai,Maharashtra,Powai,Commercial,2,753,12485493,31213,3,16581,71,48,6.11,7.5,5.61,19.113157,72.943933,Available,2024
P0071,Hyderabad,Telangana,Kondapur,Commercial,2,3143,46296390,115740,3,14730,54,56,6.08,5.73,6.95,17.370307,78.534035,Rented,2023
P0072,Delhi,Delhi,Dwarka,Villa,4,3448,46151480,115378,3,13385,76,66,7.67,5.46,5.65,28.653154,77.270391,Sold,2025
P0073,Mumbai,Maharashtra,Bandra,Villa,4,2258,25228634,63071,3,11173,50,85,8.25,5.48,7.96,19.060995,72.938954,Sold,2023
P0074,Pune,Maharashtra,Hinjewadi,Apartment,5,1183,20701317,51753,3,17499,55,77,7.84,4.6,6.54,18.46629,73.804186,Available,2022
P0075,Hyderabad,Telangana,Madhapur,Villa,3,1118,6624150,16560,3,5925,80,70,6.13,7.24,6.66,17.449675,78.505955,Available,2023
P0076,Delhi,Delhi,Rohini,Villa,4,1349,31063423,77658,3,23027,63,35,7.0,5.81,6.65,28.553589,77.168529,Rented,2023
P0077,Mumbai,Maharashtra,Powai,Apartment,3,1082,18690468,46726,3,17274,88,88,7.38,6.19,6.42,19.063211,72.89092,Sold,2025
P0078,Bengaluru,Karnataka,HSR Layout,Plot,0,1932,10171980,25429,3,5265,50,92,7.16,5.56,7.36,13.022635,77.648447,Sold,2025
P0079,Mumbai,Maharashtra,Andheri,Villa,3,2363,38920973,97302,3,16471,55,86,7.26,6.3,5.62,19.016843,72.94524,Sold,2022
P0080,Mumbai,Maharashtra,Powai,Plot,0,3873,34709826,86774,3,8962,51,38,8.49,6.56,7.94,19.026993,72.954776,Sold,2024
P0081,Pune,Maharashtra,Wakad,Villa,1,2037,49912611,124781,3,24503,98,62,6.4,7.14,6.32,18.5709,73.799672,Rented,2025
P0082,Pune,Maharashtra,Wakad,Commercial,5,2672,32809488,82023,3,12279,70,77,6.09,4.64,5.98,18.590225,73.885449,Sold,2023
P0083,Bengaluru,Karnataka,Whitefield,Apartment,3,2455,55708860,139272,3,22692,83,43,6.63,5.87,8.07,13.009668,77.574035,Sold,2024
P0084,Delhi,Delhi,Dwarka,Commercial,3,933,17719536,44298,3,18992,64,52,7.54,7.35,6.39,28.616477,77.178612,Rented,2024
P0085,Mumbai,Maharashtra,Powai,Apartment,2,1211,16995174,42487,3,14034,89,85,7.04,5.27,5.64,19.074143,72.895703,Available,2022
P0086,Mumbai,Maharashtra,Andheri,Commercial,3,1035,22397400,55993,3,21640,72,58,7.03,5.05,5.9,19.054598,72.930255,Available,2023
P0087,Mumbai,Maharashtra,Andheri,Villa,4,992,6533312,16333,3,6586,90,48,8.18,6.74,6.71,19.038278,72.799539,Rented,2024
P0088,Delhi,Delhi,Saket,Plot,0,3665,78650900,196627,3,21460,96,93,6.62,7.16,5.63,28.618944,77.193958,Available,2023
P0089,Mumbai,Maharashtra,Andheri,Apartment,5,2856,31310328,78275,3,10963,59,82,6.5,6.13,7.02,19.098651,72.927841,Available,2024
P0090,Mumbai,Maharashtra,Bandra,Apartment,4,2805,13205940,33014,3,4708,74,85,7.86,5.63,7.73,19.068398,72.833852,Available,2024
P0091,Pune,Maharashtra,Wakad,Apartment,1,1974,25912698,64781,3,13127,95,36,6.66,5.94,6.81,18.566552,73.860419,Sold,2024
P0092,Pune,Maharashtra,Hinjewadi,Apartment,2,1666,20385176,50962,3,12236,97,55,8.36,6.61,6.48,18.581226,73.829269,Available,2025
P0093,Delhi,Delhi,Rohini,Plot,0,4639,101533793,253834,3,21887,94,30,8.14,5.53,7.67,28.625154,77.17824,Available,2025
P0094,Delhi,Delhi,Saket,Apartment,5,1302,12027876,30069,3,9238,52,33,6.28,6.18,5.99,28.690285,77.241118,Available,2022
P0095,Pune,Maharashtra,Wakad,Apartment,1,791,5263314,13158,3,6654,87,76,6.5,7.34,7.1,18.546666,73.917454,Rented,2025
P0096,Mumbai,Maharashtra,Andheri,Villa,2,1058,5934322,14835,3,5609,52,41,8.06,6.21,6.36,19.01198,72.813358,Rented,2023
